NO (ppm),C3H8 (ppm),NO2 (ppm),NH3 (ppm)
0,716.3996,0,0
0,716.4208,0,0
0,716.428,0,0
0,716.8134,0,0
0,716.9971,0,0
0,717.0057,0,0
0,717.0204,0,0
0,717.1071,0,0
0,717.1116,0,0
0,717.1273,0,0
0,717.2556,0,0
0,717.3049,0,0
0,717.5057,0,0
0,717.7197,0,0
0,718.0135,0,0
0,718.4641,0,0
0,718.5707,0,0
0,719.1806,0,0
0,719.5267,0,0
0,720.5058,0,0
0,720.5544,0,0
0,720.6483,0,0
0,721.002,0,0
0,721.1034,0,0
0,721.2839,0,0
0,721.4721,0,0
0,721.5082,0,0
0,721.7971,0,0
0,794.7622,0,0
0,794.767,0,0
0,794.8688,0,0
0,794.9492,0,0
0,795.1501,0,0
0,795.2878,0,0
0,795.6285,0,0
0,795.6304,0,0
0,795.7283,0,0
0,795.749,0,0
0,795.9438,0,0
0,796.0011,0,0
0,796.3741,0,0
0,796.4119,0,0
0,796.4875,0,0
0,796.595,0,0
0,797.3291,0,0
0,797.887,0,0
0,798.0377,0,0
0,798.1569,0,0
0,798.9926,0,0
0,799.5049,0,0
0,799.8972,0,0
0,800.5718,0,0
0,800.6293,0,0
0,800.9066,0,0
0,801.1625,0,0
0,801.5915,0,0
0,801.9199,0,0
0,801.962,0,0
0,801.962,0,0
0,802.4206,0,0
0,874.5977,0,0
0,874.7914,0,0
0,874.7997,0,0
0,874.975,0,0
0,875.0812,0,0
0,875.2493,0,0
0,875.3623,0,0
0,875.5143,0,0
0,875.5408,0,0
0,875.7847,0,0
0,876.1224,0,0
0,876.2489,0,0
0,876.256,0,0
0,876.2696,0,0
0,876.4048,0,0
0,877.015,0,0
0,877.0525,0,0
0,877.075,0,0
0,877.1852,0,0
0,877.6214,0,0
0,878.2277,0,0
0,878.5114,0,0
0,878.9466,0,0
0,879.1008,0,0
0,879.691,0,0
0,879.8343,0,0
0,879.8568,0,0
0,880.5083,0,0
0,880.7186,0,0
0,880.8735,0,0
0,880.8979,0,0
0,881.5969,0,0
0,983.5928,0,0
0,983.9266,0,0
0,983.9587,0,0
0,983.9813,0,0
0,984.1715,0,0
0,984.3013,0,0
0,984.3195,0,0
0,984.5432,0,0
0,984.6398,0,0
0,985.179,0,0
0,985.2182,0,0
0,985.2783,0,0
0,985.5652,0,0
0,986.0609,0,0
0,986.0845,0,0
0,986.4225,0,0
0,986.72,0,0
0,987.0875,0,0
0,987.3358,0,0
0,988.0211,0,0
0,988.1102,0,0
0,988.377,0,0
0,988.5884,0,0
0,989.0797,0,0
0,989.2437,0,0
0,989.8536,0,0
0,989.9666,0,0
0,990.1321,0,0
0,991.0813,0,0
0,991.4153,0,0
0,992.5227,0,0
0,993.0639,0,0
0,1093.068,0,0
0,1093.475,0,0
0,1093.516,0,0
0,1093.676,0,0
0,1093.71,0,0
0,1093.926,0,0
0,1093.937,0,0
0,1094.088,0,0
0,1094.501,0,0
0,1094.533,0,0
0,1094.691,0,0
0,1094.693,0,0
0,1094.847,0,0
0,1094.9,0,0
0,1095.032,0,0
0,1095.374,0,0
0,1096.034,0,0
0,1096.355,0,0
0,1096.501,0,0
0,1096.797,0,0
0,1097.721,0,0
0,1097.885,0,0
0,1098.386,0,0
0,1098.538,0,0
0,1098.728,0,0
0,1098.956,0,0
0,1099.091,0,0
0,1099.646,0,0
0,1100.133,0,0
0,1101.376,0,0
0,1102.521,0,0
0,1103.293,0,0
19.63368,19.8341,0,0
19.63524,19.83568,0,0
19.64325,19.83881,0,0
19.63914,19.83961634112,0,0
19.64147,19.84198,0,0
19.64871,19.84432,0,0
19.63834,19.84674206408,0,0
19.63834,19.84674206408,0,0
19.65318,19.8538,0,0
19.65708,19.85775912972,0,0
19.66021,19.8609,0,0
19.66255,19.86327,0,0
19.66568,19.86643,0,0
19.66156,19.86723957916,0,0
19.67037,19.87116513696,0,0
19.67194,19.87275,0,0
19.67663,19.87748903904,0,0
19.67663,19.87749,0,0
19.67896,19.8878,0,0
19.70092,19.90203,0,0
19.71505,19.9163012304,0,0
19.73236,19.93379,0,0
19.73314,19.93457589312,0,0
19.7483,19.9448943265,0,0
19.77434,19.97121332904,0,0
19.77811,19.98001,0,0
19.7876,19.9895918208,0,0
19.79394,19.99599653952,0,0
19.81217,20.01441263136,0,0
19.82964,20.03206096512,0,0
19.83123,20.03367,0,0
19.84396,20.04652714368,0,0
19.63407,30.14844826419,0,0
19.6403,30.15801,0,0
19.64421,30.164,0,0
19.65437,30.17167889381,0,0
19.64477,30.17242188777,0,0
19.65669,30.18318165873,0,0
19.65747,30.18438,0,0
19.65747,30.18438,0,0
19.66315,30.1855307858,0,0
19.65825,30.18557706525,0,0
19.66216,30.19157,0,0
19.66529,30.19636743964,0,0
19.66683,30.20669720043,0,0
19.67311,30.20838,0,0
19.67152,30.2139,0,0
19.677,30.222317517,0,0
19.6872,30.23002,0,0
19.69504,30.24206,0,0
19.71231,30.26856740196,0,0
19.73845,30.30114,0,0
19.73354,30.30117,0,0
19.74377,30.31689,0,0
19.76034,30.34231823544,0,0
19.79198,30.38291,0,0
19.79354,30.39331716018,0,0
19.78877,30.39398,0,0
19.80543,30.41155465188,0,0
19.81733,30.42984,0,0
19.81733,30.42984710961,0,0
19.82623,30.43589993859,0,0
19.83322,30.45424,0,0
19.84038,30.46522093608,0,0
19.63952,39.68002,0,0
19.6452,39.68156,0,0
19.64811,39.69735581376,0,0
19.65825,39.71786249025,0,0
19.66529,39.73206656064,0,0
19.66529,39.73206656064,0,0
19.66763,39.73681,0,0
19.67937,39.76051401792,0,0
19.6825,39.7668576025,0,0
19.68071,39.78114,0,0
19.70053,39.80327,0,0
19.7021,39.80644,0,0
19.70288,39.80803370096,0,0
19.70051,39.8112,0,0
19.70445,39.81120575565,0,0
19.7125,39.8174955875,0,0
19.7178,39.83818,0,0
19.72016,39.84294,0,0
19.75718,39.91772258688,0,0
19.76192,39.9273,0,0
19.78009,39.96401031744,0,0
19.79117,39.98639652672,0,0
19.79275,39.98960857675,0,0
19.80464,40.01361,0,0
19.80781,40.02002,0,0
19.82385,40.0424325012,0,0
19.82051,40.04567,0,0
19.83021,40.05525931131,0,0
19.83161,40.07612,0,0
19.83544,40.08587707568,0,0
19.84316,40.09145,0,0
19.85167,40.10663,0,0
19.64342,49.21299406414,0,0
19.6489,49.2187850457,0,0
19.64811,49.22472,0,0
19.64553,49.23853,0,0
19.66237,49.24814,0,0
19.65825,49.25015,0,0
19.65511,49.25021,0,0
19.66294,49.26189,0,0
19.65883,49.2639,0,0
